date,statistic,value,station_count,station_ids,source_files,source_rows,row_count
2022-11-13,mean,12.941,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,34; 33; 260,3
2022-11-13,min,10.49,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,34; 33; 260,3
2022-11-14,max,17.19,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,35; 34; 261,3
2022-11-14,mean,8.661,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,35; 34; 261,3
2022-11-14,min,4.35,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,35; 34; 261,3
2022-11-15,max,11.56,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,36; 35; 262,3
2022-11-15,mean,5.032,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,36; 35; 262,3
2022-11-15,min,1.45,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,36; 35; 262,3
2022-11-16,max,3.52,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,37; 36; 263,3
2022-11-16,mean,2.253,2,la_poza; pucon,raw_data/la_poza/la poza 1.xls; raw_data/la_poza/la poza(2).xls; raw_data/pucon/Fico VR litoral Pucón.xlsx,37; 36; 263,3
